Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -4.051518611016084043e-02 -4.051518611016084043e-02 -4.051518611016084043e-02 -4.051518611016084043e-02
1.000000000000000000e+00 6.178277230497236649e-02 6.178277230497236649e-02 6.178277230497236649e-02 6.178277230497236649e-02
2.000000000000000000e+00 -1.026477491629645411e-01 -1.026477491629645411e-01 -1.026477491629645411e-01 -1.026477491629645411e-01
3.000000000000000000e+00 5.168844529785184688e-02 5.168844529785184688e-02 5.168844529785184688e-02 5.168844529785184688e-02
4.000000000000000000e+00 -1.938969165831015695e-02 -1.938969165831015695e-02 -1.938969165831015695e-02 -1.938969165831015695e-02
5.000000000000000000e+00 2.776842136441061773e-02 2.776842136441061773e-02 2.776842136441061773e-02 2.776842136441061773e-02
6.000000000000000000e+00 -3.891376097875853465e-03 -3.891376097875853465e-03 -3.891376097875853465e-03 -3.891376097875853465e-03
7.000000000000000000e+00 -1.212404099784081118e-01 -1.212404099784081118e-01 -1.212404099784081118e-01 -1.212404099784081118e-01
8.000000000000000000e+00 8.746271940965513747e-02 8.746271940965513747e-02 8.746271940965513747e-02 8.746271940965513747e-02
9.000000000000000000e+00 1.658969736656727006e-02 1.658969736656727006e-02 1.658969736656727006e-02 1.658969736656727006e-02
1.000000000000000000e+01 -1.163663990171301399e-01 -1.163663990171301399e-01 -1.163663990171301399e-01 -1.163663990171301399e-01
1.100000000000000000e+01 1.274517499446698454e-01 1.274517499446698454e-01 1.274517499446698454e-01 1.274517499446698454e-01
1.200000000000000000e+01 -9.305414169566642024e-02 -9.305414169566642024e-02 -9.305414169566642024e-02 -9.305414169566642024e-02
1.300000000000000000e+01 1.543263946635312633e-01 1.543263946635312633e-01 1.543263946635312633e-01 1.543263946635312633e-01
1.400000000000000000e+01 -2.586969689373880832e-01 -2.586969689373880832e-01 -2.586969689373880832e-01 -2.586969689373880832e-01
1.500000000000000000e+01 -8.342697004756670365e-02 -8.342697004756670365e-02 -8.342697004756670365e-02 -8.342697004756670365e-02
1.600000000000000000e+01 -1.972035122396989804e-01 -1.972035122396989804e-01 -1.972035122396989804e-01 -1.972035122396989804e-01
1.700000000000000000e+01 5.904255522745825713e-02 5.904255522745825713e-02 5.904255522745825713e-02 5.904255522745825713e-02
1.800000000000000000e+01 1.686276676441673117e-01 1.686276676441673117e-01 1.686276676441673117e-01 1.686276676441673117e-01
1.900000000000000000e+01 -2.981422672628177839e-01 -2.981422672628177839e-01 -2.981422672628177839e-01 -2.981422672628177839e-01
2.000000000000000000e+01 -7.932545558955729839e-03 -7.932545558955729839e-03 -7.932545558955729839e-03 -7.932545558955729839e-03
2.100000000000000000e+01 1.339815537465658679e-01 1.339815537465658679e-01 1.339815537465658679e-01 1.339815537465658679e-01
2.200000000000000000e+01 -1.570378818908572602e-02 -1.570378818908572602e-02 -1.570378818908572602e-02 -1.570378818908572602e-02
2.300000000000000000e+01 3.005022250980338150e-01 3.005022250980338150e-01 3.005022250980338150e-01 3.005022250980338150e-01
2.400000000000000000e+01 -4.843502771398962292e-02 -4.843502771398962292e-02 -4.843502771398962292e-02 -4.843502771398962292e-02
2.500000000000000000e+01 6.040165998873928688e-01 6.040165998873928688e-01 6.040165998873928688e-01 6.040165998873928688e-01
2.600000000000000000e+01 -1.828850970895807559e-01 -1.828850970895807559e-01 -1.828850970895807559e-01 -1.828850970895807559e-01
2.700000000000000000e+01 -1.657462541823723767e-01 -1.657462541823723767e-01 -1.657462541823723767e-01 -1.657462541823723767e-01
2.800000000000000000e+01 2.913851978546228016e-01 2.913851978546228016e-01 2.913851978546228016e-01 2.913851978546228016e-01
2.900000000000000000e+01 -5.966545108028484951e-02 -5.966545108028484951e-02 -5.966545108028484951e-02 -5.966545108028484951e-02
3.000000000000000000e+01 -1.093938072265297490e-01 -1.093938072265297490e-01 -1.093938072265297490e-01 -1.093938072265297490e-01
3.100000000000000000e+01 -1.701542108150100874e-01 -1.701542108150100874e-01 -1.701542108150100874e-01 -1.701542108150100874e-01
3.200000000000000000e+01 -1.793019808652193403e-01 -1.793019808652193403e-01 -1.793019808652193403e-01 -1.793019808652193403e-01
3.300000000000000000e+01 -1.874369656255453834e-02 -1.874369656255453834e-02 -1.874369656255453834e-02 -1.874369656255453834e-02
3.400000000000000000e+01 2.529697938128422363e-02 2.529697938128422363e-02 2.529697938128422363e-02 2.529697938128422363e-02
3.500000000000000000e+01 -1.087493216063308843e-01 -1.087493216063308843e-01 -1.087493216063308843e-01 -1.087493216063308843e-01
3.600000000000000000e+01 -1.756307999471944659e-01 -1.756307999471944659e-01 -1.756307999471944659e-01 -1.756307999471944659e-01
3.700000000000000000e+01 -1.447888333682806061e-01 -1.447888333682806061e-01 -1.447888333682806061e-01 -1.447888333682806061e-01
3.800000000000000000e+01 1.987349129426823624e-01 1.987349129426823624e-01 1.987349129426823624e-01 1.987349129426823624e-01
3.900000000000000000e+01 1.285999629189207571e-01 1.285999629189207571e-01 1.285999629189207571e-01 1.285999629189207571e-01
4.000000000000000000e+01 1.031936517159406930e-02 1.031936517159406930e-02 1.031936517159406930e-02 1.031936517159406930e-02
4.100000000000000000e+01 3.289286659749201536e-01 3.289286659749201536e-01 3.289286659749201536e-01 3.289286659749201536e-01
4.200000000000000000e+01 2.892148411336532554e-01 2.892148411336532554e-01 2.892148411336532554e-01 2.892148411336532554e-01
4.300000000000000000e+01 9.259822934014233162e-03 9.259822934014233162e-03 9.259822934014233162e-03 9.259822934014233162e-03
4.400000000000000000e+01 4.687384358752152425e-01 4.687384358752152425e-01 4.687384358752152425e-01 4.687384358752152425e-01
4.500000000000000000e+01 -2.881092467084306885e-01 -2.881092467084306885e-01 -2.881092467084306885e-01 -2.881092467084306885e-01
4.600000000000000000e+01 2.955217297080354188e-01 2.955217297080354188e-01 2.955217297080354188e-01 2.955217297080354188e-01
4.700000000000000000e+01 -1.457716775739293941e-03 -1.457716775739293941e-03 -1.457716775739293941e-03 -1.457716775739293941e-03
4.800000000000000000e+01 -3.129346371360236523e-02 -3.129346371360236523e-02 -3.129346371360236523e-02 -3.129346371360236523e-02
4.900000000000000000e+01 8.703371137499471555e-03 8.703371137499471555e-03 8.703371137499471555e-03 8.703371137499471555e-03
5.000000000000000000e+01 6.908480024833645039e-02 6.908480024833645039e-02 6.908480024833645039e-02 6.908480024833645039e-02
5.100000000000000000e+01 -2.545076364378109357e-01 -2.545076364378109357e-01 -2.545076364378109357e-01 -2.545076364378109357e-01
5.200000000000000000e+01 -7.146231715917780725e-02 -7.146231715917780725e-02 -7.146231715917780725e-02 -7.146231715917780725e-02
5.300000000000000000e+01 8.988985280121837562e-02 8.988985280121837562e-02 8.988985280121837562e-02 8.988985280121837562e-02
5.400000000000000000e+01 -2.551730767482277007e-01 -2.551730767482277007e-01 -2.551730767482277007e-01 -2.551730767482277007e-01
5.500000000000000000e+01 5.468516042357438739e-02 5.468516042357438739e-02 5.468516042357438739e-02 5.468516042357438739e-02
5.600000000000000000e+01 -2.363989555267668463e-01 -2.363989555267668463e-01 -2.363989555267668463e-01 -2.363989555267668463e-01
5.700000000000000000e+01 -3.078747033617682330e-02 -3.078747033617682330e-02 -3.078747033617682330e-02 -3.078747033617682330e-02
5.800000000000000000e+01 1.881512066020328555e-01 1.881512066020328555e-01 1.881512066020328555e-01 1.881512066020328555e-01
5.900000000000000000e+01 -1.992699284831903339e-01 -1.992699284831903339e-01 -1.992699284831903339e-01 -1.992699284831903339e-01
6.000000000000000000e+01 6.512933897830829322e-01 6.512933897830829322e-01 6.512933897830829322e-01 6.512933897830829322e-01
6.100000000000000000e+01 1.403548067374810193e-01 1.403548067374810193e-01 1.403548067374810193e-01 1.403548067374810193e-01
6.200000000000000000e+01 3.296465757591058310e-01 3.296465757591058310e-01 3.296465757591058310e-01 3.296465757591058310e-01
6.300000000000000000e+01 4.101541408669243105e-01 4.101541408669243105e-01 4.101541408669243105e-01 4.101541408669243105e-01
6.400000000000000000e+01 1.199067372642222476e-02 1.199067372642222476e-02 1.199067372642222476e-02 1.199067372642222476e-02
6.500000000000000000e+01 -9.931177595007978365e-02 -9.931177595007978365e-02 -9.931177595007978365e-02 -9.931177595007978365e-02
6.600000000000000000e+01 5.478141835084369138e-01 5.478141835084369138e-01 5.478141835084369138e-01 5.478141835084369138e-01
6.700000000000000000e+01 -2.663757195882451856e-01 -2.663757195882451856e-01 -2.663757195882451856e-01 -2.663757195882451856e-01
6.800000000000000000e+01 9.593373029940526278e-03 9.593373029940526278e-03 9.593373029940526278e-03 9.593373029940526278e-03
6.900000000000000000e+01 -1.545877261424744020e-01 -1.545877261424744020e-01 -1.545877261424744020e-01 -1.545877261424744020e-01
7.000000000000000000e+01 5.869776117120008990e-02 5.869776117120008990e-02 5.869776117120008990e-02 5.869776117120008990e-02
7.100000000000000000e+01 -2.820732115946103513e-01 -2.820732115946103513e-01 -2.820732115946103513e-01 -2.820732115946103513e-01
7.200000000000000000e+01 -1.440175534051740119e-02 -1.440175534051740119e-02 -1.440175534051740119e-02 -1.440175534051740119e-02
7.300000000000000000e+01 -5.601717878170187591e-03 -5.601717878170187591e-03 -5.601717878170187591e-03 -5.601717878170187591e-03
7.400000000000000000e+01 9.543323886406695697e-03 9.543323886406695697e-03 9.543323886406695697e-03 9.543323886406695697e-03
7.500000000000000000e+01 -1.830850682707415022e-01 -1.830850682707415022e-01 -1.830850682707415022e-01 -1.830850682707415022e-01
7.600000000000000000e+01 -5.145517095478765318e-02 -5.145517095478765318e-02 -5.145517095478765318e-02 -5.145517095478765318e-02
7.700000000000000000e+01 -3.828860357866792352e-02 -3.828860357866792352e-02 -3.828860357866792352e-02 -3.828860357866792352e-02
7.800000000000000000e+01 4.690092227566183269e-01 4.690092227566183269e-01 4.690092227566183269e-01 4.690092227566183269e-01
