perpendicular_transdelays,perpendicular_timedelay_raw,perpendicular_timedelay_clean
0,0,0
0.0,0.2495316454380781,0.2495316454380781
1.0,0.7375530899319004,0.7375530899319004
2.0,1.5606762562247964,1.5606762562247964
3.0,1.6002915207564625,1.6002915207564625
4.0,2.015176067649058,2.015176067649058
5.0,2.2002892993197425,2.2002892993197425
6.0,3.2946466075054697,3.2946466075054697
7.0,2.265792696723017,2.265792696723017
8.0,2.3336338594845856,2.3336338594845856
9.0,2.480831259938965,2.480831259938965
10.0,3.296381422828224,3.296381422828224
11.0,3.028059492598756,3.028059492598756
12.0,3.3375303658582522,3.3375303658582522
13.0,3.2673774251050958,3.2673774251050958
14.0,3.823607829845184,3.823607829845184
15.0,3.6634706079657753,3.6634706079657753
16.0,4.219202388882583,4.219202388882583
17.0,4.21391159314638,4.21391159314638
18.0,4.548266178747393,4.548266178747393
19.0,4.57641161627138,4.57641161627138
20.0,5.390760317636301,5.390760317636301
21.0,5.693276484484,5.693276484484
22.0,5.4045643631421445,5.4045643631421445
23.0,6.295910934823986,6.295910934823986
24.0,6.08370737037488,6.08370737037488
25.0,6.507929930795739,6.507929930795739
26.0,6.84029696552696,6.84029696552696
27.0,5.773520682240633,5.773520682240633
28.0,5.984188934127359,5.984188934127359
29.0,6.133811469723724,6.133811469723724
30.0,5.837486877527136,5.837486877527136
31.0,6.301488368023242,6.301488368023242
32.0,7.0305256634500175,7.0305256634500175
33.0,7.1214398179518925,7.1214398179518925
34.0,6.862726870305557,6.862726870305557
35.0,6.539749704731554,6.539749704731554
36.0,6.827041362301973,6.827041362301973
37.0,7.235691671609608,7.235691671609608
38.0,7.3481146265291795,7.3481146265291795
39.0,7.999915424093939,7.999915424093939
40.0,8.564846471083966,8.564846471083966
41.0,8.634789120410808,8.634789120410808
42.0,9.333395804812398,9.333395804812398
43.0,9.841943556837844,9.841943556837844
44.0,10.459645009091748,10.459645009091748
45.0,9.880980626201492,9.880980626201492
46.0,9.601329236082579,9.601329236082579
47.0,9.11611774217459,9.11611774217459
48.0,8.235437223942615,8.235437223942615
49.0,8.486775938116388,8.486775938116388
50.0,9.305234674233358,9.305234674233358
51.0,9.637259295329674,9.637259295329674
52.0,10.424789533890449,10.424789533890449
53.0,10.592646851166931,10.592646851166931
54.0,11.197217638796461,11.197217638796461
55.0,11.43516073838543,11.43516073838543
56.0,10.916891256326739,10.916891256326739
57.0,10.970596407738174,10.970596407738174
58.0,10.588977958798546,10.588977958798546
59.0,10.901046151928831,10.901046151928831
60.0,11.219926121907411,11.219926121907411
61.0,11.745364055129789,11.745364055129789
62.0,11.805466707346529,11.805466707346529
63.0,13.041947168582269,13.041947168582269
64.0,14.06092789014944,14.06092789014944
65.0,13.067717093459542,13.067717093459542
66.0,13.083967051647488,13.083967051647488
67.0,11.99305415145402,11.99305415145402
68.0,10.645789197184785,10.645789197184785
69.0,10.129394322546592,10.129394322546592
70.0,9.738199235007874,9.738199235007874
71.0,10.626827994667265,10.626827994667265
72.0,11.802519038274948,11.802519038274948
73.0,12.045834160567276,12.045834160567276
74.0,11.848508896668003,11.848508896668003
75.0,11.589838036327858,11.589838036327858
76.0,12.057926731360823,12.057926731360823
77.0,10.663104911166576,10.663104911166576
78.0,9.926778478106092,9.926778478106092
79.0,9.366216849252888,9.366216849252888
80.0,9.7914473641557,9.7914473641557
81.0,9.650305794841117,9.650305794841117
82.0,10.076172185583962,10.076172185583962
83.0,11.111501700774772,11.111501700774772
84.0,10.731502447532183,10.731502447532183
85.0,12.270275384755443,12.270275384755443
86.0,10.675116181690669,10.675116181690669
87.0,9.634982119743606,9.634982119743606
88.0,9.059221274326271,9.059221274326271
89.0,7.749616360224784,7.749616360224784
90.0,7.939789948775769,7.939789948775769
91.0,7.731706433078068,7.731706433078068
92.0,9.500907068449903,9.500907068449903
93.0,9.657049420441748,9.657049420441748
94.0,8.709254321860552,8.709254321860552
95.0,8.355649071130312,8.355649071130312
96.0,8.732996544818851,8.732996544818851
97.0,7.548897303334471,7.548897303334471
98.0,6.689002263969342,6.689002263969342
99.0,6.534696559202337,6.534696559202337
