parallel_transdelays,parallel_timedelay_raw,parallel_timedelay_clean
0,0,0
0.0,3.5427692839603058,3.5427692839603058
1.0,4.6541157127489186,4.6541157127489186
2.0,4.933062462302602,4.933062462302602
3.0,5.4284857511290765,5.4284857511290765
4.0,5.973368058802141,5.973368058802141
5.0,5.427206186665197,5.427206186665197
6.0,7.761606445589271,7.761606445589271
7.0,7.185437775627582,7.185437775627582
8.0,7.853035817878304,7.853035817878304
9.0,7.963159713068867,7.963159713068867
10.0,8.123093646809846,8.123093646809846
11.0,8.903574292302164,8.903574292302164
12.0,9.270288319307356,9.270288319307356
13.0,9.28138262540667,9.28138262540667
14.0,8.754075179453478,8.754075179453478
15.0,9.624854083072782,9.624854083072782
16.0,10.2043492357058,10.2043492357058
17.0,9.975122164582444,9.975122164582444
18.0,11.05283860713211,11.05283860713211
19.0,12.491354168596292,12.491354168596292
20.0,12.190894662460911,12.190894662460911
21.0,12.555294313662351,12.555294313662351
22.0,12.793261607508112,12.793261607508112
23.0,12.828636444772004,12.828636444772004
24.0,13.591077285057905,13.591077285057905
25.0,14.279957307113287,14.279957307113287
26.0,13.730537757685596,13.730537757685596
27.0,15.195824067731932,15.195824067731932
28.0,15.696772962025069,15.696772962025069
29.0,15.695741210304256,15.695741210304256
30.0,15.417269388468196,15.417269388468196
31.0,16.692177032724977,16.692177032724977
32.0,18.11138610872345,18.11138610872345
33.0,17.173973335221913,17.173973335221913
34.0,17.96301651771619,17.96301651771619
35.0,17.99018675561285,17.99018675561285
36.0,18.043331734795956,18.043331734795956
37.0,16.962553952648626,16.962553952648626
38.0,15.764260930552798,15.764260930552798
39.0,15.872458921143629,15.872458921143629
40.0,15.110574577731072,15.110574577731072
41.0,16.649126566917214,16.649126566917214
42.0,18.30625003091845,18.30625003091845
43.0,19.240051748635263,19.240051748635263
44.0,18.948925103530414,18.948925103530414
45.0,18.50155583406364,18.50155583406364
46.0,18.915231274704784,18.915231274704784
47.0,18.161451086446448,18.161451086446448
48.0,18.715432965453054,18.715432965453054
49.0,18.41726695351813,18.41726695351813
50.0,17.810079839287578,17.810079839287578
51.0,18.151023074085323,18.151023074085323
52.0,19.023326742978554,19.023326742978554
53.0,18.806975114990312,18.806975114990312
54.0,18.967580484860527,18.967580484860527
55.0,18.01711966982693,18.01711966982693
56.0,18.930443664894362,18.930443664894362
57.0,19.40687470533491,19.40687470533491
58.0,20.314576328296287,20.314576328296287
59.0,17.67131663295592,17.67131663295592
60.0,17.859561991436017,17.859561991436017
61.0,18.449605591790046,18.449605591790046
62.0,19.20549422264144,19.20549422264144
63.0,19.12134068885208,19.12134068885208
64.0,18.98771559837048,18.98771559837048
65.0,18.97311684356348,18.97311684356348
66.0,19.78231233120611,19.78231233120611
67.0,19.205461440924775,19.205461440924775
68.0,19.505305659629368,19.505305659629368
69.0,18.525689418197235,18.525689418197235
70.0,18.569136481934414,18.569136481934414
71.0,19.09419821912805,19.09419821912805
72.0,19.758014823112866,19.758014823112866
73.0,20.42662778727736,20.42662778727736
74.0,20.717076794148415,20.717076794148415
75.0,20.58104128258665,20.58104128258665
76.0,20.562010877780207,20.562010877780207
77.0,20.69660485422973,20.69660485422973
78.0,20.320358806721483,20.320358806721483
79.0,19.660464455849887,19.660464455849887
80.0,18.7315657095574,18.7315657095574
81.0,18.727901780501732,18.727901780501732
82.0,18.37952667645075,18.37952667645075
83.0,16.471733656193344,16.471733656193344
84.0,19.223603563986128,19.223603563986128
85.0,19.688844960351364,19.688844960351364
86.0,18.385751865656538,18.385751865656538
87.0,18.726589238683346,18.726589238683346
88.0,19.227229997673728,19.227229997673728
89.0,16.880789443074125,16.880789443074125
90.0,17.641126439004466,17.641126439004466
91.0,17.856061918864825,17.856061918864825
92.0,18.015903666174363,18.015903666174363
93.0,19.21459539464069,19.21459539464069
94.0,18.60706709590925,18.60706709590925
95.0,18.145363925161377,18.145363925161377
96.0,18.67776341149161,18.67776341149161
97.0,17.476864483839634,17.476864483839634
98.0,16.326997996586424,16.326997996586424
99.0,16.231214258523348,16.231214258523348
,,
,,
,,
,,
,,
,,
